* Sea-Bird SBE 9 Data File:
* FileName = C:\CTD0412\tee3.dat
* Software Version Seasave Win32 V 5.29a
* Temperature SN = 2475
* Conductivity SN = 1373
* Number of Bytes Per Scan = 24
* Number of Voltage Words = 4
* Number of Scans Averaged by the Deck Unit = 1
       2562     77.598     77.000    11.5107   3.890934    3.08807    34.3545     0.2335  1026.5284    1495.65 0.0000e+00
       2584     78.594     78.000    11.4555   3.885677    3.09563    34.3535     0.2353  1026.5424    1495.48 0.0000e+00
       2603     79.594     79.000    11.4373   3.884272    3.10151    34.3558     0.2372  1026.5523    1495.43 0.0000e+00
       2624     80.599     80.000    11.4122   3.881760    3.10473    34.3548     0.2390  1026.5601    1495.36 0.0000e+00
       2653     81.606     81.000    11.3747   3.878555    3.11282    34.3571     0.2408  1026.5738    1495.25 0.0000e+00
       2698     82.627     82.000    11.3288   3.874402    3.14563    34.3591     0.2427  1026.5878    1495.11 0.0000e+00
       2726     83.640     83.000    11.2807   3.869959    3.15923    34.3588     0.2445  1026.6016    1494.96 0.0000e+00
       2744     84.638     84.000    11.2630   3.868059    3.14829    34.3560     0.2463  1026.6072    1494.91 0.0000e+00
       2761     85.640     85.000    11.0294   3.840345    3.14529    34.2998     0.2481  1026.6093    1494.04 0.0000e+00
       2780     86.642     86.000    10.4733   3.787463    3.14372    34.2906     0.2499  1026.7067    1492.08 0.0000e+00
       2808     87.652     87.000    10.2264   3.766577    3.15063    34.3094     0.2516  1026.7711    1491.25 0.0000e+00
       2847     88.676     88.000    10.0328   3.747507    3.17828    34.3003     0.2533  1026.8007    1490.56 0.0000e+00
       2871     89.688     89.000     9.8841   3.733222    3.17820    34.2948     0.2549  1026.8267    1490.03 0.0000e+00
       2887     90.687     90.000     9.7351   3.716082    3.17910    34.2703     0.2566  1026.8295    1489.47 0.0000e+00
       2902     91.682     91.000     9.4253   3.686756    3.18507    34.2575     0.2581  1026.8804    1488.35 0.0000e+00
       2920     92.682     92.000     9.1737   3.663522    3.20366    34.2600     0.2597  1026.9259    1487.44 0.0000e+00
       2962     93.705     93.000     8.9744   3.646414    3.33945    34.2659     0.2612  1026.9729    1486.74 0.0000e+00
       3007     94.722     94.000     8.1407   3.557541    3.44158    34.1310     0.2628  1027.0021    1483.47 0.0000e+00
       3029     95.728     95.000     6.4226   3.391903    3.55770    34.0545     0.2642  1027.1638    1476.74 0.0000e+00
       3047     96.734     96.000     5.5402   3.320136    3.60780    34.1008     0.2654  1027.3444    1473.35 0.0000e+00
       3063     97.740     97.000     5.3498   3.305607    3.64717    34.1232     0.2665  1027.3935    1472.64 0.0000e+00
       3078     98.739     98.000     5.2078   3.292306    3.68730    34.1176     0.2677  1027.4086    1472.07 0.0000e+00
       3097     99.737     99.000     4.7568   3.248311    3.72927    34.0962     0.2688  1027.4278    1470.18 0.0000e+00
       3154    100.759    100.000     4.5055   3.229557    3.79926    34.1102     0.2699  1027.4923    1469.22 0.0000e+00
      
